Entity,Code,Year,Self-harm,Exposure to forces of nature,Conflict and terrorism,Interpersonal violence,Neglected tropical diseases and malaria,Substance use disorders,Skin and subcutaneous diseases,Enteric infections,Diabetes and kidney diseases,Cardiovascular diseases,Digestive diseases,Nutritional deficiencies,Respiratory infections and tuberculosis,Neonatal disorders,Chronic respiratory diseases,Other non-communicable diseases,Maternal disorders,Unintentional injuries,Musculoskeletal disorders,Neoplasms,Mental disorders,Neurological disorders,HIV/AIDS and sexually transmitted infections,Transport injuries,Sense organ diseases
Nauru,NRU,1990,2.918996834,0,0,1.088057085,0.237583219,0.591048265,1.60175075,1.823873409,5.442353237,18.70763702,3.102039288,2.516565375,10.58374333,10.08985903,4.415992588,5.5776793,0.843871544,5.076254145,2.877792659,6.261846365,2.897967461,2.264000596,0.927912654,5.010093263,1.076171915
Nepal,NPL,1990,0.935125169,0.024101725,0.006115831,0.177037553,2.046641149,0.226418144,0.619162171,11.2152502,0.822129429,4.069183915,2.300034299,5.410759117,19.99688498,14.81782678,3.295837961,4.002094483,1.626957769,3.935681304,1.44617555,2.252085765,1.791878621,1.443582491,0.415516095,1.016678712,0.823976905
Netherlands,NLD,1990,1.952422417,0.006673316,0.005395713,0.370499472,0.00981419,1.303393175,2.557131629,0.192298561,3.369033334,21.48081973,2.647521391,0.467325922,1.710748439,1.80444163,4.884707146,7.551180196,0.044631661,3.470954401,8.417937579,19.40471065,7.797869231,5.690733443,0.399897213,2.420429118,1.719251835
New Zealand,NZL,1990,2.394706065,0.014078794,6.94E-05,0.688731024,0.023660768,1.716961949,2.311960599,0.28318784,2.288186927,20.78136952,2.144319957,0.417161343,2.002453021,2.159441109,5.526699661,8.116471464,0.07514392,6.869355783,6.433517896,15.7525741,7.778818321,4.432818491,0.280349085,5.200949795,2.006068348
Nicaragua,NIC,1990,0.772755899,0.023023765,2.731383788,1.629383301,0.678594696,1.140319809,1.246089234,14.76262925,3.022472068,4.772075759,2.876106744,3.70082103,12.34018525,16.28691153,1.799348338,6.815637114,0.559777129,4.705666705,2.666237643,3.550693678,3.609206736,2.529827138,0.316780754,2.620086069,1.308680974
Niger,NER,1991,0.126502819,9.18E-05,0.025558835,0.377939328,10.4444467,0.061519692,0.310845717,23.10478341,0.550198617,1.877191059,1.128328196,4.150838901,18.59732404,8.2657633,0.676171092,4.404753868,0.756598083,2.00172352,0.420784942,0.704418821,0.71237955,0.622075637,0.353539753,0.998113979,0.309739778
Nigeria,NGA,1990,0.178696513,8.72E-05,0.005705805,0.420865706,13.22891652,0.110449702,0.488559736,23.56280661,0.840873212,3.119821838,1.778891769,1.761392735,16.41083126,10.99981206,0.758676846,4.84017876,0.740744743,1.724056235,0.880993749,1.11022033,1.169774372,0.994703656,0.8945886,0.894244414,0.649169837
Niue,NIU,1990,1.962022257,0,0,0.948057955,0.542546597,0.579465474,1.765150449,1.823988812,9.006592358,24.42644762,3.457761898,1.88633782,6.485782189,5.493889617,6.001247423,4.552638882,0.312527534,3.735707292,4.371138995,8.386278564,3.420569631,3.566055659,0.674141866,3.163554709,2.08524898
North Korea,PRK,1990,1.48980806,0.001609136,0,0.734342903,0.170858033,0.68514812,1.423030891,1.213832843,2.190231039,13.09919739,2.65858143,2.501735721,12.04679961,13.3628405,5.326927291,7.885860531,0.677442421,6.057379128,3.632371833,8.467417894,2.828198525,2.171196809,0.152294336,4.435159415,1.375145299
North Macedonia,MKD,1990,1.240369933,0.001028681,0,0.656395139,0.146780447,0.872121435,1.318541616,2.902762462,3.350849594,28.5357486,2.593162713,0.933089363,4.232794762,8.404842203,3.022499208,6.032282429,0.085239466,5.941935232,4.217967366,12.46141344,4.266575469,3.507925665,0.068467716,2.467613179,1.809185471
Northern Mariana Islands,MNP,1990,3.69509868,0,0,2.269210605,0.310761498,1.634125624,2.634334242,1.169731202,6.067776498,15.24866874,5.018259475,1.717415292,4.705008914,4.875458341,3.829078306,5.327053501,0.467510866,6.12752198,5.938230809,9.761212687,5.414455159,3.466332526,1.10778534,6.209477916,1.868822004
Norway,NOR,1990,2.423812554,0.017012071,0.000158127,0.343360266,0.012337657,2.346430335,2.102005068,0.272954246,2.548411613,25.66114971,2.746926853,0.409025164,3.012553531,1.584037028,4.169880125,6.913958483,0.031946373,5.163014025,7.457241037,15.93162983,6.155452278,5.477631783,0.139693498,2.617214978,2.160640199
